Survived,Pclass,Name,Sex,Age
False,3,"Braund, Mr. Owen Harris",male,22.0
True,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0
True,3,"Heikkinen, Miss. Laina",female,26.0
True,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0
False,3,"Allen, Mr. William Henry",male,35.0
False,3,"Moran, Mr. James",male,
False,1,"McCarthy, Mr. Timothy J",male,54.0
False,3,"Palsson, Master. Gosta Leonard",male,2.0
True,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0
True,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0
True,3,"Sandstrom, Miss. Marguerite Rut",female,4.0
True,1,"Bonnell, Miss. Elizabeth",female,58.0
False,3,"Saundercock, Mr. William Henry",male,20.0
False,3,"Andersson, Mr. Anders Johan",male,39.0
False,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0
True,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0
False,3,"Rice, Master. Eugene",male,2.0
True,2,"Williams, Mr. Charles Eugene",male,
False,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0
True,3,"Masselmani, Mrs. Fatima",female,
False,2,"Fynney, Mr. Joseph J",male,35.0
True,2,"Beesley, Mr. Lawrence",male,34.0
True,3,"McGowan, Miss. Anna ""Annie""",female,15.0
True,1,"Sloper, Mr. William Thompson",male,28.0
False,3,"Palsson, Miss. Torborg Danira",female,8.0
True,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0
False,3,"Emir, Mr. Farred Chehab",male,
False,1,"Fortune, Mr. Charles Alexander",male,19.0
True,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,
False,3,"Todoroff, Mr. Lalio",male,
False,1,"Uruchurtu, Don. Manuel E",male,40.0
True,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,
True,3,"Glynn, Miss. Mary Agatha",female,
False,2,"Wheadon, Mr. Edward H",male,66.0
False,1,"Meyer, Mr. Edgar Joseph",male,28.0
False,1,"Holverson, Mr. Alexander Oskar",male,42.0
True,3,"Mamee, Mr. Hanna",male,
False,3,"Cann, Mr. Ernest Charles",male,21.0
False,3,"Vander Planke, Miss. Augusta Maria",female,18.0
True,3,"Nicola-Yarred, Miss. Jamila",female,14.0
False,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0
False,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0
False,3,"Kraeff, Mr. Theodor",male,
True,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0
True,3,"Devaney, Miss. Margaret Delia",female,19.0
False,3,"Rogers, Mr. William John",male,
False,3,"Lennon, Mr. Denis",male,
True,3,"O'Driscoll, Miss. Bridget",female,
False,3,"Samaan, Mr. Youssef",male,
False,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0
False,3,"Panula, Master. Juha Niilo",male,7.0
False,3,"Nosworthy, Mr. Richard Cater",male,21.0
True,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0
True,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0
False,1,"Ostby, Mr. Engelhart Cornelius",male,65.0
True,1,"Woolner, Mr. Hugh",male,
True,2,"Rugg, Miss. Emily",female,21.0
False,3,"Novel, Mr. Mansouer",male,28.5
True,2,"West, Miss. Constance Mirium",female,5.0
False,3,"Goodwin, Master. William Frederick",male,11.0
False,3,"Sirayanian, Mr. Orsen",male,22.0
True,1,"Icard, Miss. Amelie",female,38.0
False,1,"Harris, Mr. Henry Birkhardt",male,45.0
False,3,"Skoog, Master. Harald",male,4.0
False,1,"Stewart, Mr. Albert A",male,
